screen_name,hashtag,tweet_id
Zehraaa3_,#velfie,685337650639847425
sulllly10,#velfie,685310849561575424
kryanlover97,#velfie,685272819966455808
syaheera9501,#velfie,685231081822392320
JanuKiWife,#velfie,685214743309774848
TeamKryanians,#velfie,685214565865504770
tajinderbraha,#velfie,685182389941710848
hibackme,#velfie,684851861959131136
Khainata,#velfie,684800362813915136
almedacarroid0,#velfie,684781085964775424
onedirection,#video,687767426025435136
syco,#video,687704251234172929
brits,#video,687696377011376128
_Rhiannonhayes,#video,687915570054967296
MuthokaTito,#video,687915569958502401
toop10588417,#video,687915569945931776
h5stapla,#video,687915569803218945
Dinovash,#video,687915569648021506
CumDumpWhores,#video,687915569547358208
saronadog,#video,687915569539084289
Niatiarsasila1,#video,687915569438326784
Samanthrax159,#video,687915569371287553
d09manstar,#video,687915569346002948
SmartyAnilk,#video,687915569329221632
Mutsumi_candy,#video,687915569283117056
focusonshawty,#video,687915569279037440
DerSkaii,#video,687915569199333376
TheRealDraper24,#video,687915569178279936
JayJPatele,#video,687915569123741696
hibshsgh,#video,687915569107103744
hanbendmedown,#video,687915569031593984
SUSAYYEE,#video,687915569027268608
0613_sweet_bts,#video,687915568972697600
DavidT_viEUws,#video,687915568926748672
5529_kznn,#video,687915568909844480
imonihakusyu,#video,687915568834285569
sweetjones_____,#video,687915568825946112
mayosuke0w0,#video,687915568792338432
562552826,#video,687915568767217665
Niatiarsasila1,#video,687915568653938688
DarkAntheis,#video,687915568507293696
vnschoolnet,#video,687915568398110721
ElvisBrito7,#video,687915568276619264
0330_rino,#video,687915568263868417
gumi_m_t,#video,687915568247123968
supjazmin,#video,687915568230354944
annmy_0617,#video,687915568230313984
erusuke20091225,#video,687915568221913088
DavidT_viEUws,#video,687915568217853952
xoxo4086612,#video,687915568142258176
broshifive,#video,687915568138194944
lionelwatson5,#video,687915567983005696
Niatiarsasila1,#video,687915567940960256
SNA_1931MA99Y,#video,687915567878017024
ryura0427,#video,687915567865442304
MPjywd2HiMw9FHS,#video,687915567852879872
AusraLove1D,#video,687915567815196672
matthewkeedy,#video,687915567752327168
ceezus_x,#video,687915567752155136
BSYamina,#video,687915567748132864
big_berg18,#video,687915567748022272
royalmyerss,#video,687915567664250880
masnazirah_,#video,687915567664087040
Wariolel,#video,687915567647428609
mr_saiparn,#video,687915567626375168
17BLAVK_,#video,687915567571976192
CumDumpWhores,#video,687915567567646720
1206morizye,#video,687915567466987520
erIKa___9,#video,687915567425011712
Mo7_HFC,#video,687915567232204800
adib_borbond,#video,687915567232102400
misa_peko777,#video,687915567169159168
Niatiarsasila1,#video,687915567165001729
hayoon754,#video,687915567156703232
Carlotta5SOS,#video,687915567039287296
MRyu0712,#video,687915566946844673
Harly_Birdy,#video,687915566783283200
sexyjapan881,#video,687915566783270913
konitan902,#video,687915566762307584
BronBronte,#video,687915566732939264
souhebiya,#video,687915566582071296
C_dore1,#video,687915566544326656
_ni3lfish,#video,687915566506573828
gguggu_qovop,#video,687915566401626112
trixlogy,#video,687915566087024640
_ceetee24,#video,687915566049267712
MonsterAlice514,#video,687915566019907584
NuckFiggasx3,#video,687915565961363456
RaulPolo1997,#video,687915565923590144
iamjaayyyTV,#video,687915565902606336
FukcingNormal,#video,687915565810368512
1979k11t410,#video,687915565751508992
gogazajaca,#video,687915565697077249
fatime_g,#video,687915565659369472
EileenFinniganC,#video,687915565659238400
PatPat36100,#video,687915565550272512
_suligie_,#video,687915565487267840
ManNaoshi0219,#video,687915565470453760
DannyAtomika,#video,687915565302743041
FiorellaSooL,#video,687915565286076416
dekcmkoy,#video,687915565210419200
AMPERE98,#video,687915565126557696
mana_9913,#video,687915565076250624
Admiral_Taiki,#video,687915565067964416
warukonnagisa,#video,687915565042667521
7amni_,#video,687915565013417984
m_BBBTSiKON_22,#video,687915564971380736
BigtreeYoshiki,#video,687915564816183297
purabellator,#video,687915564673699841
ImAugustAmes,#video,687915564635918336
gmanews,#dub,687546016623497217
Crunchyroll,#dub,687749383501131776
gmanews,#dub,687258061354827776
DaiZa27,#dub,687915588979589121
Shairacruz2Cruz,#dub,687915561443983360
rubylupisan22,#dub,687915439167426560
AngeloGasparini,#dub,687915432842518528
C_Dub_17,#dub,687915420825837568
rdaacposiah,#dub,687915395349639169
PheshN,#dub,687915381269377024
imAngelEsguerra,#dub,687915372079546368
MariaPerezPang,#dub,687915344292265984
C_Dub_17,#dub,687915316312170496
camatasan,#dub,687915305239064576
ILOVEDEE_,#dub,687915268698324992
DrammehSheriff,#dub,687915267310006272
armyranger3,#dub,687915168727220224
C_Dub_17,#dub,687915140382064640
yrringo01,#dub,687915124003188741
venice0211,#dub,687915108400381952
SwaggyCee,#dub,687915057066459136
sab86,#dub,687915050263252993
StephCurryBuzz,#dub,687915017493069833
StevoFano,#dub,687915014137757697
Kemist42,#dub,687914998430085121
xDianaaaa,#dub,687914991823921152
rmsapnu,#dub,687914982063747072
BlackMitsukai,#dub,687914978737696768
C_Dub_17,#dub,687914969774579712
C_Dub_17,#dub,687914926837469184
WorldWideBill,#dub,687914907631775744
ramaxz_dub,#dub,687914875528556544
2hundredfeet,#dub,687914836945166336
ramaxz_dub,#dub,687914792997228544
ayjhayserrano,#dub,687914776299573248
dub_nation_30,#dub,687914772185001985
BelenCasillano,#dub,687914764110970882
maritesversoza,#dub,687914753184772096
rmsapnu,#dub,687914751607705601
Iammaadeenn,#dub,687914743646928896
NOISEiL,#dub,687914726446108672
uollenrepk358,#dub,687914720117022720
db183f375a4d40d,#dub,687914719630503936
panjmorales15,#dub,687914703893303296
SirAlexas,#dub,687914682200551424
maricel_pitcher,#dub,687914642220412928
JeroseD,#dub,687914555498868736
kimthejames,#dub,687914458186829824
violettakuril,#dub,687914397889638400
GoodFella_D,#dub,687914368131035136
tanoue0028,#dub,687914354402959361
lizortiz28dc,#dub,687914353325023232
yungwizz_AA,#dub,687914295892381696
mcchrislene,#dub,687914256759533568
BiffSnr,#dub,687914254423474176
BationMarilou,#dub,687914236459089920
punkie_1,#dub,687914216993390592
cindycarreon601,#dub,687914204519510016
gie070425,#dub,687914190669885440
BationMarilou,#dub,687914155462889472
maansona12,#dub,687914151511916544
Generallevy,#dub,687914130481623041
mamasohal2,#dub,687914082993766400
analynedrosola2,#dub,687914059711123456
DareDreemer,#dub,687914029285683200
italy_aldub,#dub,687913952844595201
vokadyvhs,#dub,687913923073470464
Foapfa__Fuaqtu,#dub,687913914181488641
LiliaArcete,#dub,687913903263633409
AsawaNiAlden,#dub,687913892366815232
iamcarlaferuelo,#dub,687913859919818752
Jamvihar,#dub,687913858606874624
cyreneuddipa,#dub,687913845071806464
watersonmusic,#dub,687913840340791296
KirNevernov,#dub,687913818173902848
HotSandyBeaches,#dub,687913696203505665
BationMarilou,#dub,687913661965287424
NonOuze24,#dub,687913638905143296
d_quimpo,#dub,687913611327492096
emmibon,#dub,687913609238728706
Keannggg,#dub,687913577609465856
BationMarilou,#dub,687913571297013760
flor_marmeto,#dub,687913569917079552
WheresMarissa_,#dub,687913557019750400
lassyjackie,#dub,687913535024726016
SirTroyanSound,#dub,687913471825055744
dub_nation_30,#dub,687913419056414720
yannahlook,#dub,687913417424769024
mayvargas1979,#dub,687913401863933952
OMG_Gumby,#dub,687913369710399488
FallenSachiel,#dub,687913315494944768
alyssazga,#dub,687913312110002176
AdsayGloria,#dub,687913295601254400
dcvirgo0906,#dub,687913287455866880
ESFXRobo,#dub,687913271358304256
dub_dub_dnb,#dub,687913262986334208
dub_dub_dnb,#dub,687913242866257920
kikyoisms,#dub,687913240110579712
HallyuNation,#dub,687913239263363072
SphAmandlA_DeeP,#dub,687913232024076288
sneazzy,#meme,687706723683962880
Garou_officiel,#meme,687765655563669506
